"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.299108333E-2,-3.778143311E0,4.990771637E0,7.200326843E0,9.540800546E0
3.293908335E-2,-3.695066071E0,5.101092224E0,7.406747589E0,9.722888717E0
4.288608333E-2,-3.749702454E0,5.210963745E0,7.524402924E0,9.890958043E0
5.283408336E-2,-3.896547089E0,5.291196899E0,7.613767090E0,1.005730049E1
6.278108334E-2,-4.011508026E0,5.334307251E0,7.685767365E0,1.017929519E1
7.272908333E-2,-3.987108765E0,5.296136627E0,7.639363861E0,1.011464185E1
8.267608334E-2,-3.865860901E0,5.280419312E0,7.403753815E0,9.881461388E0
9.262408334E-2,-3.718716888E0,5.313949585E0,7.029532013E0,9.564582365E0
1.025710833E-1,-3.587140503E0,5.367538147E0,6.715485077E0,9.315351983E0
1.125190833E-1,-3.466491394E0,5.376369781E0,6.602021027E0,9.192855718E0
1.224660834E-1,-3.369642792E0,5.309159546E0,6.635251923E0,9.141566370E0
1.324140833E-1,-3.366199951E0,5.233267365E0,6.742129669E0,9.174677209E0
1.423610833E-1,-3.395389252E0,5.216053162E0,6.868466949E0,9.268857372E0
1.523094584E-1,-3.444487152E0,5.217999115E0,6.987918549E0,9.376727155E0
1.622564583E-1,-3.469934235E0,5.252427521E0,7.063960419E0,9.461922387E0
1.722044583E-1,-3.484903107E0,5.359904022E0,7.092550964E0,9.548685772E0
1.821514583E-1,-3.491040344E0,5.488935699E0,7.158114624E0,9.672351460E0
1.920994583E-1,-3.399730225E0,5.538782043E0,7.312144318E0,9.782828152E0
2.020464583E-1,-3.267106018E0,5.490582275E0,7.495962067E0,9.849361541E0
2.119944583E-1,-3.175945587E0,5.405110016E0,7.675588531E0,9.910424005E0
2.219414584E-1,-3.159479828E0,5.379662933E0,7.845934296E0,1.002405961E1
2.318894583E-1,-3.103196869E0,5.393434296E0,8.062683563E0,1.018458789E1
2.418364583E-1,-3.003953247E0,5.346432037E0,8.229287109E0,1.026300331E1
2.517844583E-1,-2.890489197E0,5.280868378E0,8.241561584E0,1.020616657E1
2.617314583E-1,-2.834655304E0,5.185816040E0,8.123157806E0,1.004557870E1
2.716794584E-1,-2.898273010E0,5.087470551E0,7.860154724E0,9.801243560E0
2.816264583E-1,-2.727627869E0,5.364694061E0,7.643555145E0,9.728506125E0
2.915744583E-1,-2.637215881E0,5.407055969E0,7.688611450E0,9.762474476E0
3.015214583E-1,-2.578088837E0,5.331762543E0,7.746690674E0,9.751176865E0
3.114694583E-1,-2.439926147E0,5.262756042E0,7.935298462E0,9.829486378E0
3.214164583E-1,-2.305655365E0,5.201533356E0,8.210576019E0,9.989271970E0
3.313644583E-1,-2.253264313E0,5.135071564E0,8.391998749E0,1.009315625E1
3.413114584E-1,-2.247127075E0,5.046455841E0,8.474776611E0,1.011623128E1
3.512594583E-1,-2.226170654E0,5.005890198E0,8.473279724E0,1.009015568E1
3.612064583E-1,-2.210752716E0,4.969815216E0,8.366551666E0,9.979262379E0
3.711544583E-1,-2.185754700E0,4.963977356E0,8.219707031E0,9.847953010E0
3.811014583E-1,-2.138153687E0,5.018314362E0,8.096064148E0,9.762245382E0
3.910494584E-1,-2.071691895E0,5.059029694E0,8.006550293E0,9.694871652E0
4.009964583E-1,-1.997745667E0,5.072801056E0,7.979007568E0,9.663791185E0
4.109444583E-1,-1.963167572E0,5.121000824E0,8.010292511E0,9.707907214E0
4.208914583E-1,-1.982627106E0,5.184019775E0,8.099806366E0,9.818947726E0
4.308394583E-1,-1.964814148E0,5.213807831E0,8.189769287E0,9.905382764E0
4.407864583E-1,-1.915117493E0,5.194647675E0,8.259075165E0,9.943055971E0
4.507344583E-1,-1.876946869E0,5.174290009E0,8.322393494E0,9.977897579E0
4.606814584E-1,-1.795516205E0,5.189707947E0,8.371341705E0,1.001180848E1
4.706294583E-1,-1.579814758E0,5.259911957E0,8.441545715E0,1.007085808E1
4.805764583E-1,-1.440005493E0,5.337450714E0,8.482710114E0,1.012513540E1
4.905244583E-1,-1.407972107E0,5.377716980E0,8.450976105E0,1.011539532E1
5.004714583E-1,-1.430575104E0,5.392236786E0,8.390202484E0,1.007562705E1
5.104194584E-1,-1.544039154E0,5.372627563E0,8.288114777E0,9.997101100E0
5.203664583E-1,-1.700912933E0,5.326523438E0,8.229436798E0,9.949300817E0
5.303144583E-1,-1.836530914E0,5.284011841E0,8.195307770E0,9.922534776E0
5.402614583E-1,-1.891766052E0,5.266498260E0,8.191266174E0,9.920263316E0
5.502094583E-1,-1.847757568E0,5.258415070E0,8.133935394E0,9.860326672E0
5.601564583E-1,-1.759291534E0,5.246439972E0,7.984396362E0,9.714464697E0
5.701044583E-1,-1.647024994E0,5.298232269E0,7.923922119E0,9.673287872E0
5.800524583E-1,-1.552421722E0,5.385949860E0,7.970625000E0,9.744194784E0
5.899994583E-1,-1.504072266E0,5.435047760E0,8.003107452E0,9.790388472E0
5.999474583E-1,-1.512604523E0,5.442083130E0,7.978558502E0,9.775563258E0
6.098944584E-1,-1.485660553E0,5.338498535E0,7.787855072E0,9.558108626E0
6.198424583E-1,-1.772464142E0,5.484295349E0,7.753576355E0,9.661111266E0
6.297894584E-1,-1.713636475E0,5.614524536E0,7.647297363E0,9.640570144E0
6.397374583E-1,-1.532513123E0,5.614225159E0,7.538323975E0,9.523363321E0
6.496844583E-1,-1.491498413E0,5.589825897E0,7.514673157E0,9.483724676E0
6.596324584E-1,-1.558259583E0,5.658383331E0,7.504943390E0,9.527310750E0
6.695794583E-1,-1.535955963E0,5.634283447E0,7.471862183E0,9.483302967E0
6.795274583E-1,-1.563199310E0,5.573958893E0,7.502548370E0,9.476330612E0
6.894744583E-1,-1.622625732E0,5.680088196E0,7.676636353E0,9.686437006E0
6.994224583E-1,-1.451531525E0,5.660029907E0,7.712861023E0,9.676316834E0
7.093694583E-1,-1.405876465E0,5.548362122E0,7.812404022E0,9.684754384E0
7.193174583E-1,-1.400038605E0,5.453908539E0,7.922724609E0,9.719814385E0
7.292644584E-1,-1.425335999E0,5.458848267E0,8.038433990E0,9.820744785E0
7.392124583E-1,-1.518292694E0,5.449866943E0,8.086783447E0,9.869261823E0
7.491594584E-1,-1.587598572E0,5.402415619E0,8.115673370E0,9.877789125E0
7.591074583E-1,-1.644330597E0,5.383704529E0,8.173453217E0,9.924385878E0
7.690544583E-1,-1.700164490E0,5.388793945E0,8.281827850E0,1.002588310E1
7.790024584E-1,-1.731000366E0,5.421426086E0,8.392597504E0,1.014021282E1
7.889494583E-1,-1.728156281E0,5.428162079E0,8.471782837E0,1.020894569E1
7.988974583E-1,-1.740879822E0,5.405559082E0,8.498726807E0,1.022150130E1
8.088444583E-1,-1.766925659E0,5.400319977E0,8.469986572E0,1.019932128E1
8.187924583E-1,-1.737137604E0,5.429658966E0,8.380323029E0,1.013551467E1
8.287394583E-1,-1.666334839E0,5.445525970E0,8.255482635E0,1.002912850E1
8.386874583E-1,-1.587897949E0,5.445076904E0,8.061486053E0,9.856867646E0
8.486344584E-1,-1.540596313E0,5.453010406E0,7.916737061E0,9.735681033E0
8.585824583E-1,-1.512305145E0,5.495072937E0,7.876470795E0,9.722226371E0
8.685294584E-1,-1.464255066E0,5.515879669E0,7.907007294E0,9.751396606E0
8.784774583E-1,-1.436862030E0,5.500611420E0,7.938890991E0,9.764593625E0
8.884244583E-1,-1.434916077E0,5.479954376E0,7.917934570E0,9.735634133E0
8.983724584E-1,-1.440155182E0,5.488486633E0,7.829468536E0,9.669442075E0
9.083194583E-1,-1.459315338E0,5.500012665E0,7.748936005E0,9.613831170E0
9.182674583E-1,-1.467248840E0,5.492378540E0,7.689659271E0,9.562944154E0
9.282144583E-1,-1.484912109E0,5.469326477E0,7.640112305E0,9.512613317E0
9.381624583E-1,-1.514251099E0,5.459447021E0,7.618557129E0,9.494257785E0
9.481094583E-1,-1.522633667E0,5.443729706E0,7.612569580E0,9.481762600E0
9.580574583E-1,-1.503473511E0,5.401816864E0,7.646698608E0,9.482196878E0
9.680044584E-1,-1.488804016E0,5.354215851E0,7.699239349E0,9.495391057E0
9.779524583E-1,-1.528321838E0,5.335953827E0,7.767347717E0,9.546719931E0
9.878994583E-1,-1.547032928E0,5.333409119E0,7.860304413E0,9.624081731E0
9.978474583E-1,-1.534758453E0,5.321733398E0,8.000413055E0,9.730515862E0
